	filter	window	alpha	lag	alphaLP	alphaHP	no mismatchess	Key Lenght	Key Sattus	Key bit Mismatches	Key bit Matches	key bit mismatches %	Seq bit Mismatches	Seq bit Matches	Seq bit mismatches %
338	bandpassHPLP	    -    	    -    	    -    	0.6000000000000001	0.8	8	195	False	8	187	0.041	8320	31680	0.208
339	bandpassHPLP	    -    	    -    	    -    	0.6000000000000001	0.9	6	192	False	6	186	0.0312	7983	32017	0.1996
340	bandpassHPLP	    -    	    -    	    -    	0.6000000000000001	1.0	4	196	False	4	192	0.0204	8039	31961	0.201
341	bandpassHPLP	    -    	    -    	    -    	0.7000000000000001	0.1	2	206	False	2	204	0.0097	6978	33022	0.1744
342	bandpassHPLP	    -    	    -    	    -    	0.7000000000000001	0.2	1	218	False	1	217	0.0046	7028	32972	0.1757
343	bandpassHPLP	    -    	    -    	    -    	0.7000000000000001	0.30000000000000004	2	224	False	2	222	0.0089	6700	33300	0.1675
344	bandpassHPLP	    -    	    -    	    -    	0.7000000000000001	0.4	4	227	False	4	223	0.0176	6833	33167	0.1708
345	bandpassHPLP	    -    	    -    	    -    	0.7000000000000001	0.5	3	212	False	3	209	0.0142	7281	32719	0.182
346	bandpassHPLP	    -    	    -    	    -    	0.7000000000000001	0.6000000000000001	3	203	False	3	200	0.0148	7903	32097	0.1976
347	bandpassHPLP	    -    	    -    	    -    	0.7000000000000001	0.7000000000000001	11	203	False	11	192	0.0542	8353	31647	0.2088
348	bandpassHPLP	    -    	    -    	    -    	0.7000000000000001	0.8	14	204	False	14	190	0.0686	8544	31456	0.2136
349	bandpassHPLP	    -    	    -    	    -    	0.7000000000000001	0.9	9	201	False	9	192	0.0448	8389	31611	0.2097
350	bandpassHPLP	    -    	    -    	    -    	0.7000000000000001	1.0	4	205	False	4	201	0.0195	8312	31688	0.2078
351	bandpassHPLP	    -    	    -    	    -    	0.8	0.1	2	201	False	2	199	0.01	6801	33199	0.17
352	bandpassHPLP	    -    	    -    	    -    	0.8	0.2	2	213	False	2	211	0.0094	7041	32959	0.176
353	bandpassHPLP	    -    	    -    	    -    	0.8	0.30000000000000004	1	218	False	1	217	0.0046	7028	32972	0.1757
354	bandpassHPLP	    -    	    -    	    -    	0.8	0.4	2	228	False	2	226	0.0088	6652	33348	0.1663
355	bandpassHPLP	    -    	    -    	    -    	0.8	0.5	3	225	False	3	222	0.0133	6528	33472	0.1632
356	bandpassHPLP	    -    	    -    	    -    	0.8	0.6000000000000001	3	224	False	3	221	0.0134	6512	33488	0.1628
357	bandpassHPLP	    -    	    -    	    -    	0.8	0.7000000000000001	3	221	False	3	218	0.0136	6732	33268	0.1683
358	bandpassHPLP	    -    	    -    	    -    	0.8	0.8	3	219	False	3	216	0.0137	6695	33305	0.1674
359	bandpassHPLP	    -    	    -    	    -    	0.8	0.9	5	213	False	5	208	0.0235	7009	32991	0.1752
360	bandpassHPLP	    -    	    -    	    -    	0.8	1.0	2	211	False	2	209	0.0095	7288	32712	0.1822
361	bandpassHPLP	    -    	    -    	    -    	0.9	0.1	3	203	False	3	200	0.0148	6722	33278	0.1681
