,m (length of),alpha,n (block size),tau (decision threshold),No_mism (expected number of mismatches),L  (expected length of final key),expected number of mismatches (%)
,300,0.3,10,1,0,44.8356,0
,300,0.3,10,2,0.0001,115.312,9.00E-05
,300,0.3,10,3,0.0027,198.0608,0.00136
,300,0.3,10,4,0.0441,269.1242,0.01639
,300,0.3,11,1,0,33.9112,0
,300,0.3,11,2,0,93.9954,0
,300,0.3,11,3,0.0004,172.156,0.00023
,300,0.3,11,4,0.0069,243.3944,0.00283
,300,0.3,11,5,0.0887,300,0.02957
,300,0.3,12,1,0,25.5121,0
,300,0.3,12,2,0,75.9065,0
,300,0.3,12,3,0,148.2622,0
,300,0.3,12,4,0.001,219.9435,0.00045
,300,0.3,12,5,0.0151,276.2256,0.00547
,300,0.3,13,1,0,19.1025,0
,300,0.3,13,2,0,60.7653,0
,300,0.3,13,3,0,126.3773,0
,300,0.3,13,4,0.0001,197.5034,5.00E-05
,300,0.3,13,5,0.0024,255.8476,0.00094
,300,0.3,13,6,0.0298,300,0.00993
,300,0.3,14,1,0,14.2432,0
,300,0.3,14,2,0,48.2583,0
,300,0.3,14,3,0,106.6242,0
,300,0.3,14,4,0,175.7601,0
,300,0.3,14,5,0.0004,236.6413,0.00017
,300,0.3,14,6,0.0052,281.456,0.00185
,300,0.3,15,1,0,10.5804,0
,300,0.3,15,2,0,38.0509,0
,300,0.3,15,3,0,89.0879,0
,300,0.3,15,4,0,154.849,0
,300,0.3,15,5,0.0001,217.5822,5.00E-05
,300,0.3,15,6,0.0009,265.23,0.00034
,300,0.3,15,7,0.0101,300,0.00337
,300,0.3,16,1,0,7.8335,0
,300,0.3,16,2,0,29.8088,0
,300,0.3,16,3,0,73.7668,0
,300,0.3,16,4,0,135.051,0
,300,0.3,16,5,0,198.4046,0
,300,0.3,16,6,0.0001,249.5448,4.00E-05
,300,0.3,16,7,0.0018,285.3966,0.00063
,300,0.3,17,1,0,5.7825,0
,300,0.3,17,2,0,23.2159,0
,300,0.3,17,3,0,60.5758,0
,300,0.3,17,4,0,116.6379,0
,300,0.3,17,5,0,179.2425,0
,300,0.3,17,6,0,233.5352,0
,300,0.3,17,7,0.0003,272.4158,0.00011
,300,0.3,17,8,0.0034,300,0.00113
,300,0.3,18,1,0,4.2571,0
,300,0.3,18,2,0,17.9858,0
,300,0.3,18,3,0,49.3665,0
,300,0.3,18,4,0,99.8083,0
,300,0.3,18,5,0,160.3948,0
,300,0.3,18,6,0,216.9378,0
,300,0.3,18,7,0,259.6167,0
,300,0.3,18,8,0.0006,288.4146,0.00021
,300,0.3,19,1,0,3.1266,0
,300,0.3,19,2,0,13.8671,0
,300,0.3,19,3,0,39.9518,0
,300,0.3,19,4,0,84.6715,0
,300,0.3,19,5,0,142.1913,0
,300,0.3,19,6,0,199.8356,0
,300,0.3,19,7,0,246.2559,0
,300,0.3,19,8,0.0001,277.9878,4.00E-05
,300,0.3,19,9,0.0012,300,0.0004
,300,0.3,20,1,0,2.2912,0
,300,0.3,20,2,0,10.645,0
,300,0.3,20,3,0,32.1262,0
,300,0.3,20,4,0,71.254,0
,300,0.3,20,5,0,124.9241,0
,300,0.3,20,6,0,182.4813,0
,300,0.3,20,7,0,232.0652,0
,300,0.3,20,8,0,267.542,0
,300,0.3,20,9,0.0002,290.7549,7.00E-05
